0000,1000,0,,"2.01,170530",00:10,00:04,00:05,00:40,Gave to Patrick for TELOS testing,"June 2010, Randy Bott",128MB,OK,YES,YES,YES,YES,0000
0001,1001,1,,"1.12, 150313",00:20,00:06,00:06,00:36,Last used for Bailong test,"June 2010, Randy Bott",128MB,OK,YES,YES,YES,,0001
0002,1002,2,,"1.12, 150313",00:30,00:08,00:07,00:37,"FAILED on RT002, ATRH leak and short","June 2010, Randy Bott",128MB,OK,YES,YES,,,0002
0003,1003,3,,"2.01,170530",00:40,00:10,00:08,00:38,"Repaired Iridium Xmit problem, and updated rain ground.","June 2010, Randy Bott",2GB,OK,YES,YES,YES,,0003
0004,1004,4,,"2.01, 170530",00:50,00:12,00:09,00:39,,"Sept 2011, DaveZ",2GB,OK,YES,YES,YES,,0004
0005,1005,5,,"1.12, 130225",01:00,00:14,,,"*LOST AT SEA on RT003, 12S-67E.","Sept 2011, DaveZ",2GB,,,,,,0005
0006,1006,6,,"1.12,130816",01:10,00:16,00:10,00:40,"Retired, Damaged on PT003, Re-purposed for topsection testing.","Sept 2011, DaveZ",2GB,,,,,,0006
0007,1007,7,,"2.01, 170530",01:20,00:18,00:11,00:41,,"Sept 2011, DaveZ",2GB,OK,YES,YES,YES,YES,0007
0008,1008,8,,"2.01, 170530",01:30,00:20,00:12,00:42,,"March 2012, DaveZ",2GB,OK,YES,YES,YES,,0008
0009,1009,9,,"2.01, 170530",01:40,00:22,00:13,00:43,,"March 2012, DaveZ",2GB,OK,YES,YES,YES,YES,0009
0010,1010,10,,"2.01, 170530",01:50,00:24,00:14,00:44,,"August 2012, DaveZ",2GB,OK,YES,YES,YES,YES,0010
0011,1011,11,,"2.01, 170530",02:00,00:26,00:15,00:45,,"August 2012, DaveZ",2GB,OK,YES,YES,YES,YES,0011
0012,1012,12,,"1.12,140211",02:10,00:28,00:05,00:35,,"August 2012, DaveZ",2GB,OK,YES,YES,YES,,0012
0013,1013,13,,"2.01, 170530",02:20,00:30,00:06,00:36,,"August 2012, DaveZ",2GB,OK,YES,YES,YES,,0013
0014,1014,14,,"2.01, 170530",02:30,00:32,00:07,00:37,,"August 2012, DaveZ",2GB,OK,YES,YES,YES,,0014
0015,1015,15,,"2.01, 170530",02:40,00:34,00:08,00:38,,"August 2012, DaveZ",2GB,OK,YES,,YES,YES,0015
0016,1016,16,,"2.01, 170530",00:36,00:36,00:09,00:39,,"May 2014, DaveZ",2GB,OK,YES,YES,YES,YES,0016
0017,1017,17,,"2.01, 170530",03:00,00:38,00:10,00:40,Gave to Patrick for TELOS testing,"May 2014, DaveZ",2GB,OK,YES,,YES,,0017
0018,1018,18,,"2.01, 170530",,00:40,00:11,00:41,,"October 2015, DaveZ",2GB,OK,YES,YES,YES,,0018
0019,1019,19,,"2.01, 170530",,00:42,00:12,00:42,,"October 2015, DaveZ",2GB,OK,YES,YES,YES,YES,0019
0020,1020,20,,"2.01, 170530",,00:44,00:13,00:43,,"October 2015, DaveZ",2GB,OK,YES,YES,YES,YES,0020
0021,1021,21,,"1.12, 150313",,00:46,00:14,00:44,"Tower torn off on RT-009, on shelf, needs repair","October 2015, DaveZ",2GB,OK,YES,YES,YES,,0021
0022,1022,22,,"2.01, 170530",,00:48,00:15,00:45,,"November 2015, DaveZ",2GB,OK,YES,YES,YES,YES,0022
